vin,make,model,trim,year,price,condition,dealer,dealer_link,dealer_number,description,mileage,color,location,engine,fuel_type,body_type,car_url,image_links
57XAAFHB3P8161391,SLINGSHOT,Slingshot,AutoDrive,2023,31249.0,New,Team Mancuso Powersports South,https://www.tmpsouth.com/default.asp?d=D&fr=xNewInventory&id=14576758&p=32&page=xNewInventoryDetail&s=%28Sort+By%29&utm_source=motohunt.com,409 209 1635,,,,"La Marque, TX",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle (1 Rear Wheel),https://motohunt.com/l/6937846/2023-Polaris-Slingshot-Slingshot-SLR-Red-Shadow-AutoDrive,"https://storage.googleapis.com/mhimg/p/7846/6937846/1468_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/f512_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/546a_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/b775_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/7195_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/694a_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/00f0_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/2c14_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/c950_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/9674_l.jpg,https://storage.googleapis.com/mhimg/p/7846/6937846/692c_l.jpg"
57XAAFHB0P8160110,SLINGSHOT,Slingshot,AutoDrive,2023,28767.0,New,Sky Powersports Lakeland,https://www.skypowersportslakeland.com/New-Inventory-2023-Polaris-Slingshot-Motorcycle-Scooter-Slingshot-SLR-Lime-Shadow-AutoDrive-Sky-Powersports-13141281?ref=list&utm_source=motohunt.com,866 454 8365,,,,"Lakeland, FL",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/5299490/2023-Polaris-Slingshot-Slingshot-SLR-Lime-Shadow-AutoDrive,"https://storage.googleapis.com/mhimg/p/9490/5299490/1e48_l.jpg,https://storage.googleapis.com/mhimg/p/9490/5299490/0cf7_l.jpg,https://storage.googleapis.com/mhimg/p/9490/5299490/8bf1_l.jpg,https://storage.googleapis.com/mhimg/p/9490/5299490/0b72_l.jpg,https://storage.googleapis.com/mhimg/p/9490/5299490/51fc_l.jpg,https://storage.googleapis.com/mhimg/p/9490/5299490/ea41_l.jpg,https://storage.googleapis.com/mhimg/p/9490/5299490/5bba_l.jpg"
57XAAFHB2P8160510,SLINGSHOT,Slingshot,AutoDrive,2023,28767.0,New,Sky Powersports Lakeland,https://www.skypowersportslakeland.com/New-Inventory-2023-Polaris-Slingshot-Motorcycle-Scooter-Slingshot-SLR-Red-Shadow-AutoDrive-Sky-Powersports-13140770?ref=list&utm_source=motohunt.com,866 454 8365,,,,"Lakeland, FL",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/5299493/2023-Polaris-Slingshot-Slingshot-SLR-Red-Shadow-AutoDrive,"https://storage.googleapis.com/mhimg/p/9493/5299493/6966_l.jpg,https://storage.googleapis.com/mhimg/p/9493/5299493/4645_l.jpg,https://storage.googleapis.com/mhimg/p/9493/5299493/06b3_l.jpg,https://storage.googleapis.com/mhimg/p/9493/5299493/0ee2_l.jpg,https://storage.googleapis.com/mhimg/p/9493/5299493/451f_l.jpg"
57XAAFHB0P8161431,SLINGSHOT,Slingshot,AutoDrive,2023,29767.0,New,Houston Motorsports,https://www.houstonyamaha.com/New-Inventory-2023-Polaris-Slingshot-Motorcycle-Scooter-Slingshot-SLR-Red-Shadow-AutoDrive-Houston-Motorsports-14718932?ref=list&utm_source=motohunt.com,281 890 2020,,,,"Houston, TX",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/7131644/2023-Polaris-Slingshot-Slingshot-SLR-Red-Shadow-AutoDrive,"https://storage.googleapis.com/mhimg/p/1644/7131644/9c4a_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/b8f2_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/2ec8_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/8548_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/e23d_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/0e4f_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/241a_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/e05e_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/9865_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/0f0e_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/7eda_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/2f64_l.jpg,https://storage.googleapis.com/mhimg/p/1644/7131644/586e_l.jpg"
57XAAFHB1P8160773,SLINGSHOT,Slingshot,AutoDrive,2023,32249.0,New,Maxim Power Sports,https://www.maximpowersports.com/inventory/2023-slingshot-slr-autodrive-merrillville-in-46410-12104054i?utm_source=motohunt.com,219 942 0548,,,,"Merrillville, IN",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/6837597/2023-Slingshot-SLR-Autodrive,"https://storage.googleapis.com/mhimg/p/7597/6837597/96bd_l.jpg,https://storage.googleapis.com/mhimg/p/7597/6837597/03fe_l.jpg,https://storage.googleapis.com/mhimg/p/7597/6837597/4286_l.jpg,https://storage.googleapis.com/mhimg/p/7597/6837597/72d0_l.jpg"
57XAAFGB4P8156010,SLINGSHOT,Slingshot,Manual,2023,30399.0,New,The Toy Store,https://www.polaristhetoystore.com/inventory/2023-polaris-industries-t23aafgb-thornville-oh-43076-12087239i?utm_source=motohunt.com,740 246 4796,,,,"Thornville, OH",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/6777195/2023-Polaris-Industries-T23AAFGB,"https://storage.googleapis.com/mhimg/p/7195/6777195/363a_l.jpg,https://storage.googleapis.com/mhimg/p/7195/6777195/2f18_l.jpg,https://storage.googleapis.com/mhimg/p/7195/6777195/a3fd_l.jpg"
57XAARFA0K8132368,SLINGSHOT,Slingshot,Open Cab,2019,25499.0,Used,Motorcycle Mall,https://www.motorcyclemall.com/default.asp?d=D&fr=xPreOwnedInventory&id=14031391&p=4&page=xPreOwnedInventoryDetail&s=Year&t=preowned&utm_source=motohunt.com,973 751 4545,,4172,,"Belleville, NJ","2384 cc, 4-stroke",Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/6518358/2019-Polaris-Slingshot-Slingshot-SLR-Icon-Envy-Green,"https://storage.googleapis.com/mhimg/p/8358/6518358/c56e_l.jpg,https://storage.googleapis.com/mhimg/p/8358/6518358/4d44_l.jpg,https://storage.googleapis.com/mhimg/p/8358/6518358/53e2_l.jpg,https://storage.googleapis.com/mhimg/p/8358/6518358/25c1_l.jpg,https://storage.googleapis.com/mhimg/p/8358/6518358/2858_l.jpg,https://storage.googleapis.com/mhimg/p/8358/6518358/44f0_l.jpg,https://storage.googleapis.com/mhimg/p/8358/6518358/bb8f_l.jpg"
57XAAFGB2P8156278,SLINGSHOT,Slingshot,Manual,2023,30399.0,New,Sport Rider,https://sportriderinc.com/Motorcycles-Slingshot-Slingshot-SLR-2023-Altoona-WI-8b805ddd-2a97-4c7f-be3b-b04400f30d44?utm_source=motohunt.com,715 834 0244,,,,"Altoona, WI",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/6465869/2023-Slingshot-Slingshot-SLR,"https://storage.googleapis.com/mhimg/p/5869/6465869/0215_l.jpg,https://storage.googleapis.com/mhimg/p/5869/6465869/bb12_l.jpg,https://storage.googleapis.com/mhimg/p/5869/6465869/ab68_l.jpg,https://storage.googleapis.com/mhimg/p/5869/6465869/c8ca_l.jpg,https://storage.googleapis.com/mhimg/p/5869/6465869/342e_l.jpg"
57XAAFHB0P8158304,SLINGSHOT,Slingshot,AutoDrive,2023,28767.0,New,Twin County Motorsports & Marine,https://www.twincountybigrock.com/inventory/2023-slingshot-slingshot-slr-auto-rocky-mount-nc-27804-11954042i?utm_source=motohunt.com,252 977 2191,,2,,"Rocky Mount, NC",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/6163249/2023-Slingshot-SLINGSHOT-SLR-AUTO,"https://storage.googleapis.com/mhimg/p/3249/6163249/9070_l.jpg,https://storage.googleapis.com/mhimg/p/3249/6163249/0364_l.jpg,https://storage.googleapis.com/mhimg/p/3249/6163249/8b02_l.jpg,https://storage.googleapis.com/mhimg/p/3249/6163249/2954_l.jpg,https://storage.googleapis.com/mhimg/p/3249/6163249/7151_l.jpg,https://storage.googleapis.com/mhimg/p/3249/6163249/09a5_l.jpg,https://storage.googleapis.com/mhimg/p/3249/6163249/3295_l.jpg,https://storage.googleapis.com/mhimg/p/3249/6163249/7e92_l.jpg"
57XAAFHB0P8158481,SLINGSHOT,Slingshot,AutoDrive,2023,28767.0,New,Extreme Powersports Opelika,https://www.extremeopelika.com/New-Inventory-2023-Polaris-Slingshot-Motorcycle-Scooter-Slingshot-SLR-Red-Shadow-AutoDrive-Extreme-Powersports-Opelika-14116586?ref=list&utm_source=motohunt.com,334 745 6357,,3,,"Opelika, AL",1997 cc,Gasoline,Motorcycle - Unenclosed Three Wheeled / Open Autocycle,https://motohunt.com/l/7086684/2023-Polaris-Slingshot-Slingshot-SLR-Red-Shadow-AutoDrive,"https://storage.googleapis.com/mhimg/p/6684/7086684/1319_l.jpg,https://storage.googleapis.com/mhimg/p/6684/7086684/806c_l.jpg,https://storage.googleapis.com/mhimg/p/6684/7086684/511a_l.jpg"
